2002sum 0.6557 0.6442 0.6756  56.41  56.43  51.86  38.14 0.6932 0.6973 0.6857  88.77  86.82  83.14  79.28 
2002fal 0.7088 0.7105 0.7434  71.66  70.82  64.64  52.91 0.6965 0.6810 0.6593  77.74  78.80  77.48  71.97 
0203win 0.7442 0.7382 0.7556  77.91  77.12  72.31  56.10 0.7066 0.6800 0.6726  64.40  66.76  64.94  61.84 
2003spr 0.7362 0.7254 0.7491  65.53  66.51  61.69  47.31 0.6738 0.6678 0.6546  80.91  81.04  78.89  70.16 
2003sum 0.6903 0.7009 0.7242  51.84  50.73  47.36  33.50 0.7102 0.7033 0.7366  86.68  85.88  78.39  63.30 
2003fal 0.7266 0.7179 0.7544  73.12  72.54  65.22  51.32 0.7031 0.6885 0.7061  74.74  76.01  70.85  58.01 
0304win 0.7107 0.7162 0.7440  78.72  76.60  70.18  54.32 0.6670 0.6775 0.6922  68.62  67.23  63.96  53.35 
2000sum 0.4791 0.4733 0.5131  65.50  64.99  58.08  44.90 0.5175 0.5102 0.5471 108.61 107.70  93.53  90.41 
2000fal 0.5270 0.5390 0.5812  86.39  84.43  74.85  62.19 0.4983 0.5123 0.5175  95.95  92.22  81.06  84.08 
0001win 0.6019 0.6003 0.6560  90.29  89.31  77.87  62.54 0.4730 0.4813 0.5234  89.42  86.88  75.02  72.60 
2001spr 0.5229 0.5390 0.5977  85.29  82.54  71.69  55.18 0.5607 0.5600 0.5636  95.98  94.65  85.89  78.87 
2001sum 0.5531 0.5782 0.6139  62.50  60.97  55.71  39.67 0.5605 0.5533 0.5619 101.71 100.89  92.92  78.36 
2001fal 0.6211 0.6099 0.6540  81.02  81.20  73.12  57.47 0.5952 0.6024 0.5954  86.59  85.18  80.03  71.01 
0102win 0.6422 0.6426 0.6708  89.78  88.09  80.48  62.40 0.5487 0.5483 0.5687  83.87  83.37  75.94  68.27 
2002spr 0.5449 0.5529 0.5957  84.07  81.88  73.10  56.82 0.6172 0.6142 0.5900  97.25  96.54  92.20  81.59 
2002sum 0.5494 0.5324 0.5852  64.78  64.49  57.69  41.69 0.6099 0.6192 0.6226  99.59  97.03  89.64  82.22 
2002fal 0.6079 0.6026 0.6611  83.55  83.01  73.31  58.28 0.5999 0.5841 0.5795  88.79  89.63  84.55  73.96 
0203win 0.6536 0.6489 0.6773  90.28  89.35  81.99  61.82 0.6054 0.5784 0.5840  74.07  75.83  71.02  64.08 
